Expected Viz,Session,Ep,Turns,Speakers,Reg rate,Chal rate,Gini,Duration (s),Teacher,TA annotated,Rationale
Timeline,22,20,16,4,1.0,0.0,0.48,136,Yes,Yes,"reg=1.00, chal=0.00, gini=0.48, dur=136s"
Timeline,15,5,20,2,0.95,0.0,0.43,196,Yes,Yes,"reg=0.95, chal=0.00, gini=0.43, dur=196s"
Timeline,11,15,6,2,0.83,0.0,0.2,141,No,Yes,"reg=0.83, chal=0.00, gini=0.20, dur=141s"
Timeline,22,2,12,4,0.83,0.0,0.45,128,No,Yes,"reg=0.83, chal=0.00, gini=0.45, dur=128s"
Participation Chart,8,23,20,4,0.95,0.05,0.6,172,Yes,Yes,"gini=0.605, teacher present, reg=0.95"
Participation Chart,15,6,60,5,0.92,0.08,0.6,319,Yes,Yes,"gini=0.600 (boundary), teacher present, 60 turns"
Participation Chart,9,17,46,6,0.83,0.09,0.59,571,Yes,Yes,"gini=0.594 (BORDERLINE below 0.6), teacher present"
Participation Chart,17,4,9,5,0.89,0.11,0.62,94,Yes,Yes,"gini=0.618, teacher present, chal=0.11 borderline"
Stacked Bar,22,31,7,3,0.43,0.57,0.37,32,No,Yes,"chal=0.57, reg=0.43 — challenge dominant"
Stacked Bar,1,8,10,5,0.5,0.4,0.31,96,No,Yes,"chal=0.40, reg=0.50 — balanced"
Stacked Bar,16,32,13,4,0.62,0.38,0.35,43,No,Yes,"chal=0.39, reg=0.62 — regulation dominant"
Stacked Bar,5,7,10,3,0.5,0.4,0.48,307,No,Yes,"chal=0.40, reg=0.50 — different session"
Network Graph,13,38,8,3,0.0,0.0,0.2,51,No,Yes,"3 speakers, 8 turns, gini=0.20, reg=0 chal=0"
Network Graph,16,17,13,5,0.54,0.08,0.21,82,No,Yes,"5 speakers, 13 turns, gini=0.21"
Network Graph,9,6,12,3,0.67,0.08,0.17,65,No,Yes,"3 speakers, 12 turns, gini=0.17, BORDERLINE reg=0.67"
Network Graph,22,9,28,4,0.68,0.07,0.2,119,No,Yes,"4 speakers, 28 turns, gini=0.20, BORDERLINE reg=0.68"
Heatmap,22,32,15,6,0.73,0.07,0.42,143,Yes,Yes,"6 speakers, gini=0.42 — most diverse"
Heatmap,5,13,47,5,0.62,0.08,0.33,295,No,Yes,"5 speakers, gini=0.33, 47 turns"
Heatmap,14,26,12,5,0.5,0.08,0.55,53,No,Yes,"5 speakers, gini=0.55 — BORDERLINE near participation"
Heatmap,23,11,83,5,0.63,0.06,0.4,287,No,Yes,"5 speakers, gini=0.40, 83 turns — largest"
